组键(budget_order|supplier|金额|日期),份数,订单号,订单status,id,金额,source_module,excel?/手工?,description,created_at,delivery_date
ea087f6c-5f82-43ac-b5e8-01d35595d22c | 雅翔织带 | 405 | 2026-04-17,2,BO-202604-0049,approved,1b1d0dbc-ad47-4ccb-bbe6-9df722b93ab9,405,excel-attach-2026-07,excel,白色松紧,2026-07-04,2026-04-17
ea087f6c-5f82-43ac-b5e8-01d35595d22c | 雅翔织带 | 405 | 2026-04-17,2,BO-202604-0049,approved,5bb1e2d7-2eb4-475f-a7b1-645e19521d48,405,paid,手工/其他,白色织带900米,2026-04-17,2026-04-17
9dc4c28a-7d64-444b-9865-072c4f8d4009 | 严佳佳吊卡 | 2430 | 2026-04-23,2,BO-202604-0047,approved,27c97378-79c0-4dd0-83b0-0c0688507838,2430,,手工/其他,尺码吊卡lu801-set,2026-04-23,2026-04-23
9dc4c28a-7d64-444b-9865-072c4f8d4009 | 严佳佳吊卡 | 2430 | 2026-04-23,2,BO-202604-0047,approved,ad1ff86f-3975-4af8-a27b-823df53519c4,2430,excel-attach-2026-07,excel,烫金吊卡2张+塑料,2026-07-04,2026-04-23
ea087f6c-5f82-43ac-b5e8-01d35595d22c | 严佳佳吊卡 | 882 | 2026-04-23,2,BO-202604-0049,approved,7a39bfe3-7e2b-425e-a7d7-c09ac9aeff4e,882,,手工/其他,LA008吊卡,2026-04-23,2026-04-23
ea087f6c-5f82-43ac-b5e8-01d35595d22c | 严佳佳吊卡 | 882 | 2026-04-23,2,BO-202604-0049,approved,9572bbf8-d4f8-417d-b3ff-8fb4012081fd,882,excel-attach-2026-07,excel,烫金吊卡2张+塑料,2026-07-04,2026-04-23
ea087f6c-5f82-43ac-b5e8-01d35595d22c | 雅翔织带 | 300 | 2026-04-17,2,BO-202604-0049,approved,82a218b3-e6bd-40a3-bcea-64e6a9be86e2,300,paid,手工/其他,黑色织带600米,2026-04-17,2026-04-17
ea087f6c-5f82-43ac-b5e8-01d35595d22c | 雅翔织带 | 300 | 2026-04-17,2,BO-202604-0049,approved,a3e7f908-f895-4b0e-b0cd-11611f7b16fa,300,excel-attach-2026-07,excel,黑色松紧,2026-07-04,2026-04-17
